presidente	bando1	bando2	federacion	descripcion	inicio	fin	numero	total
CSG	tijuana	juarez		Tras la separación de la organización de Sinaloa/ de Guadalajara y la detención en 1989 de su líder, Miguel Ángel Félix Gallardo, inicia un conflicto por el dominio de territorio. El Cártel de Juárez y el Cártel de Sinaloa buscan entrar y dominar Baja California, uno de los principales cruces para trasiego de droga a Estados Unidos. Por separado se enfrentan al Cártel de Tijuana. 	1991	1993	1	3
CSG	tijuana	sinaloa		Tras la separación de la organización de Sinaloa/ de Guadalajara y la detención en 1989 de su líder, Miguel Ángel Félix Gallardo, inicia un conflicto por el dominio de territorio. El Cártel de Juárez y el Cártel de Sinaloa buscan entrar y dominar Baja California, uno de los principales cruces para trasiego de droga a Estados Unidos. Por separado se enfrentan al Cártel de Tijuana. 	1991	1993	2	3
CSG	tijuana	milenio|sinaloa|juarez	Federación 1	Tras la detención en 1993 de Joaquín, el Chapo, Guzmán, líder del cártel de Sinaloa. Amado Carrillo Fuentes, el Señor de los Cielos, forma La Federación en donde esos dos cárteles se unen en contra del Cártel de Tijuana. 	1993	1993	3	3
EZP	tijuana	milenio|sinaloa|juarez	Federación 1	Tras la detención en 1993 de Joaquín, el Chapo, Guzmán, líder del cártel de Sinaloa. Amado Carrillo Fuentes, el Señor de los Cielos, forma La Federación en donde esos dos cárteles se unen en contra del Cártel de Tijuana. 	1994	1997	1	1
VFQ	tijuana	milenio|sinaloa|juarez	Federación 2	Con la fuga de Joaquín El Chapo Guzmán en 2001, este capo organiza una nueva era de La Federación. Además de combatir al cártel de Tijuana; el cártel de Sinaloa y el Cártel de Juárez se unen para pelear contra el cártel del Golfo y tomar el control de Tamaulipas. Suman al Cártel de los Beltrán Leyva. 	2002	2003	2	10
VFQ	golfo	milenio|sinaloa|juarez	Federación 2	Con la fuga de Joaquín El Chapo Guzmán en 2001, este capo organiza una nueva era de La Federación. Además de combatir al cártel de Tijuana; el cártel de Sinaloa y el Cártel de Juárez se unen para pelear contra el cártel del Golfo y tomar el control de Tamaulipas. Suman al Cártel de los Beltrán Leyva. 	2001	2003	3	10
VFQ	golfo	milenio		El Cártel del Golfo ingresa a Michoacán y pelea con el cártel del Milenio por el control del estado y el tráfico de metanfetaminas.	2000	2003	4	10
VFQ	tijuana|golfo	sinaloa		En prisión, Benjamín Arellano Félix, líder del cártel de Tijuana y detenido en 2002 y Osiel Cárdenas, líder del cártel del Golfo y detenido en 2003, hacen una alianza en contra de El Chapo.	2003	2005	5	10
VFQ	sinaloa	juarez		Asesinan en 2004 a Rodolfo Carrillo Fuentes, El niño de Oro, hermano menor de Vicente Carrillo Fuentes, líder del Cártel de Juárez. Acusa de traición al Cártel de Sinaloa. En venganza, asesinan a Arturo Guzmán Loera, El Pollo, hermano de El Chapo.	2004	2005	6	10
VFQ	tijuana	sinaloa		Con el conflicto entre el Cártel de Sinaloa y el Cártel de Juárez acaba la Federación. El conflicto que mantenían estas organizaciones con el Cártel de Tijuana y el Cártel del Golfo por el dominio de territorio continúa, pero por separado.	2004	2005	7	10
