cartel	presidente	total
milenio	JLP	0
oaxaca	JLP	0
colima	JLP	0
beltran-leyva	JLP	0
jalisco-nueva-generacion	JLP	0
sinaloa	JLP	0
organizacion-de-sinaloa	JLP	0
guadalajara	JLP	0
juarez	JLP	0
tijuana	JLP	0
golfo	JLP	0
zetas	JLP	0
familia-michoacana	JLP	0
caballeros-templarios	JLP	0
milenio	MMH	0
oaxaca	MMH	0
colima	MMH	0
beltran-leyva	MMH	0
jalisco-nueva-generacion	MMH	0
sinaloa	MMH	0
organizacion-de-sinaloa	MMH	0
guadalajara	MMH	0
juarez	MMH	0
tijuana	MMH	0
golfo	MMH	0
zetas	MMH	0
familia-michoacana	MMH	0
caballeros-templarios	MMH	0
milenio	CSG	0
oaxaca	CSG	0
colima	CSG	0
beltran-leyva	CSG	0
jalisco-nueva-generacion	CSG	0
sinaloa	CSG	0
organizacion-de-sinaloa	CSG	0
guadalajara	CSG	0
juarez	CSG	0
tijuana	CSG	0
golfo	CSG	0
zetas	CSG	0
familia-michoacana	CSG	0
caballeros-templarios	CSG	0
milenio	EZP	0
oaxaca	EZP	0
colima	EZP	0
beltran-leyva	EZP	0
jalisco-nueva-generacion	EZP	0
sinaloa	EZP	0
organizacion-de-sinaloa	EZP	0
guadalajara	EZP	0
juarez	EZP	0
tijuana	EZP	0
golfo	EZP	1
zetas	EZP	0
familia-michoacana	EZP	0
caballeros-templarios	EZP	0
milenio	VFQ	0
oaxaca	VFQ	0
colima	VFQ	0
beltran-leyva	VFQ	1
jalisco-nueva-generacion	VFQ	0
sinaloa	VFQ	1
organizacion-de-sinaloa	VFQ	0
guadalajara	VFQ	0
juarez	VFQ	1
tijuana	VFQ	0
golfo	VFQ	1
zetas	VFQ	0
familia-michoacana	VFQ	0
caballeros-templarios	VFQ	0
milenio	FCH	0
oaxaca	FCH	0
colima	FCH	0
beltran-leyva	FCH	19
jalisco-nueva-generacion	FCH	0
sinaloa	FCH	12
organizacion-de-sinaloa	FCH	0
guadalajara	FCH	0
juarez	FCH	2
tijuana	FCH	14
golfo	FCH	2
zetas	FCH	3
familia-michoacana	FCH	5
caballeros-templarios	FCH	2
milenio	EPN	0
oaxaca	EPN	0
colima	EPN	0
beltran-leyva	EPN	7
jalisco-nueva-generacion	EPN	0
sinaloa	EPN	8
organizacion-de-sinaloa	EPN	0
guadalajara	EPN	0
juarez	EPN	2
tijuana	EPN	3
golfo	EPN	12
zetas	EPN	9
familia-michoacana	EPN	2
caballeros-templarios	EPN	0
